instances,algo_collision,feature_npc1_avg_control_speed,feature_npc1_max_control_speed,feature_npc2_avg_control_speed,feature_npc2_max_control_speed,feature_npc1_number_lane_changes,feature_npc2_number_lane_changes,feature_ego_max_speed,feature_npc1_max_speed,feature_npc2_max_speed,feature_npc_avg_dist,feature_max_npc_dist,feature_min_npc_dist,feature_type_npc_max_dist,feature_type_npc_min_dist,feature_op_npc_max_dist,feature_op_npc_min_dist,feature_ctrl_speed_npc_max_dist,feature_ctrl_speed_npc_min_dist,feature_speed_npc_min_dist,feature_speed_npc_max_dist,feature_avg_speed_npcs,feature_max_npc_speed,feature_type_npc_max_speed,feature_op_npc_max_speed,feature_ctrl_speed_npc_max_speed,feature_dist_av_npc_max_speed,source
scenario205,0,10.961044202404505,22.00276967126554,17.47178712703589,28.641150632435487,8,5,11.734461047096508,22.646684935902236,28.56936878105638,37.069558922842695,96.86717073789353,2.5525885259412853,2,2,0,1,24.150674811091648,17.07352401955463,17.05193359628709,11.818168544190014,8.931319884003232,28.56936878105638,2,2,28.641150632435487,43.56113354704525,av-fuzzer
scenario206,1,10.961044202404505,22.00276967126554,18.469002780700336,28.330360030479152,8,5,11.714199560462632,22.84778904966063,27.908485009605062,51.2658451735711,130.73823293938517,2.5831905092002927,2,2,0,1,24.150674811091648,17.07352401955463,17.05193359628709,11.377763207700596,8.092857978433443,27.908485009605062,2,2,27.959294836277408,51.88701668458945,av-fuzzer
scenario207,0,10.961044202404505,22.00276967126554,18.537188360316144,28.641150632435487,8,5,11.678615031387443,22.675551385460412,28.56936878105638,35.53891256955557,78.20846762312756,2.5551706655947966,2,2,0,1,24.150674811091648,17.07352401955463,17.05193359628709,11.818168544190014,8.975278315115036,28.56936878105638,2,2,28.641150632435487,41.918093481869626,av-fuzzer
scenario208,1,11.704441487499974,22.00276967126554,18.537188360316144,28.641150632435487,8,5,11.62530413930405,23.670686106571715,28.589510401421457,31.923037907758278,77.77357925939022,2.790279808297392,2,2,1,1,19.691882021591745,17.07352401955463,16.892927098831592,10.436552160306885,9.271221482452596,28.589510401421457,2,2,28.641150632435487,35.937476690331515,av-fuzzer
scenario209,0,13.121253549376783,27.35931271809184,16.41491600527099,28.459097388782283,6,5,11.674497557599437,27.33399204289481,24.835850469828873,24.57634915848693,76.29097711631518,3.7980684031671745,1,2,1,1,14.711967858392992,7.149009314157407,1.9577948103678,11.303327621962408,7.47261033916898,27.33399204289481,1,1,21.73309832997502,30.81663566241503,av-fuzzer
scenario210,0,8.283761271649606,28.953886942497785,16.74510482432974,26.84563067077152,7,2,11.62397375041529,27.23660119967177,22.46034770591605,41.56189144899711,83.47661567868468,3.3717459467658184,1,2,0,1,12.003504635128477,22.484125875923194,19.929518211899403,5.4755428926358825,7.736094537397984,27.23660119967177,1,1,28.953886942497785,67.78241292879767,av-fuzzer
scenario211,1,15.702164615515295,27.365632474081583,12.84549662463397,26.079454836195215,3,4,11.58671911440997,25.324252611888195,26.079310253138964,29.437928673358677,76.2393408664009,2.755886468484682,1,2,2,1,18.04524492583702,26.079454836195215,25.62165286489629,10.768845593882613,9.08119917529832,26.079310253138964,2,1,26.079454836195215,31.821418672737455,av-fuzzer
scenario212,0,12.131840802946394,26.791275752832355,14.036627319523763,29.011011523440573,3,3,11.695053263279531,26.771979949459887,29.01109802344592,39.14722936065863,105.03998656679364,3.831337213308828,2,2,2,2,14.792274163699892,16.17118915431069,15.257586904769333,13.870412995411769,9.043822056281499,29.01109802344592,2,2,20.07473815232838,65.31145727246547,av-fuzzer
scenario213,0,13.121253549376783,27.35931271809184,16.41491600527099,28.459097388782283,4,5,11.642884325457977,27.334191363110776,28.44130591781,23.015874808561676,71.17257482315351,3.7776019233266176,1,2,1,0,14.711967858392992,23.61266405812654,23.60740071972557,11.286997182478132,8.53744970237984,28.44130591781,2,1,28.459097388782283,38.28666007156366,av-fuzzer
scenario214,0,10.202579041893609,28.953886942497785,16.74510482432974,26.84563067077152,7,2,11.624790401973643,27.23660119967177,22.46034770591605,35.61444195573547,78.0523225792389,3.4241873153819262,1,2,1,1,28.953886942497785,22.484125875923194,19.929518211899403,7.830664595435353,8.335858562203889,27.23660119967177,1,1,28.953886942497785,58.86238860512611,av-fuzzer
scenario215,0,13.121253549376783,27.35931271809184,12.84549662463397,26.079454836195215,4,4,11.47648560314328,27.253593599146004,26.079310253138964,30.218316966787576,68.55918926449662,2.826900702659957,1,2,1,1,14.711967858392992,26.079454836195215,25.327913243894194,9.631574583719305,8.501638428990876,27.253593599146004,1,0,27.35931271809184,18.30360816744805,av-fuzzer
scenario216,0,15.702164615515295,27.365632474081583,12.980413835292648,26.079454836195215,3,4,11.580044352318703,22.963062990542205,26.079310253138964,28.202576306790977,68.22767659985193,2.8285788470866087,1,2,2,1,18.04524492583702,26.079454836195215,25.327913243894194,10.768845593882613,8.966924921783981,26.079310253138964,2,1,26.079454836195215,36.43019281527527,av-fuzzer
scenario217,0,15.702164615515295,27.365632474081583,16.41491600527099,28.459097388782283,3,5,11.674709931688573,24.1106267856432,28.459112175383652,23.4019111830091,73.16405321016289,3.1404096241682544,1,1,2,2,18.04524492583702,27.365632474081583,13.031694184109721,10.768845593882613,8.231383007829978,28.459112175383652,2,1,28.459097388782283,33.65650918411737,av-fuzzer
scenario218,0,15.702164615515295,27.365632474081583,16.41491600527099,28.459097388782283,4,5,11.709203235649042,24.69755234029626,25.08336601517657,25.508649603947134,76.48919558635755,3.8041656127678456,1,2,2,0,18.04524492583702,10.871676253197046,10.844976837127014,10.768845593882613,7.4932847644113885,25.08336601517657,2,1,28.459097388782283,11.361371417911538,av-fuzzer
scenario219,0,13.121253549376783,27.35931271809184,16.41491600527099,28.459097388782283,4,5,11.647127823215083,25.435524269181247,23.095623408375566,27.320079242357732,79.8816298532937,3.8047875396045567,1,2,2,0,14.711967858392992,10.871676253197046,10.833343473933791,11.725779552480825,7.4805332731733,25.435524269181247,1,0,27.35931271809184,65.39485282279755,av-fuzzer
scenario220,0,15.702164615515295,27.365632474081583,12.84549662463397,26.079454836195215,3,4,11.130896340178179,22.963062990542205,26.079310253138964,27.75321856854467,63.280762437526,2.8053909183530714,1,2,2,1,18.04524492583702,26.079454836195215,25.803492162278623,10.768845593882613,8.97257425275127,26.079310253138964,2,1,26.079454836195215,33.98157517487897,av-fuzzer
scenario221,0,13.121253549376783,27.35931271809184,12.84549662463397,26.079454836195215,4,4,11.607703174507076,26.92142849158994,26.079310253138964,30.01644926209419,72.81180160772183,2.8762105312831343,1,2,1,1,14.711967858392992,26.079454836195215,25.327913243894194,11.28702198788358,8.451643167899817,26.92142849158994,1,0,27.35931271809184,40.55955435084079,av-fuzzer
scenario222,0,15.702164615515295,27.365632474081583,12.84549662463397,26.079454836195215,5,4,11.555102959723948,25.785064595681828,26.079310253138964,29.666772378410386,76.31921023295696,2.748277420269687,1,2,2,1,18.04524492583702,26.079454836195215,25.62165286489629,9.803836690562935,8.963778994704775,26.079310253138964,2,1,26.079454836195215,33.92936949498019,av-fuzzer
scenario223,1,15.702164615515295,27.365632474081583,12.84549662463397,26.079454836195215,5,4,11.598668605730586,25.785064595681828,26.079310253138964,29.698098555337232,76.29823107051897,2.828877037353283,1,2,2,1,18.04524492583702,26.079454836195215,25.327913243894194,11.808816074782372,8.950526435021915,26.079310253138964,2,1,26.079454836195215,34.28134074207713,av-fuzzer
scenario224,0,15.702164615515295,27.365632474081583,13.512657630313896,26.079454836195215,3,4,11.590185868986527,22.963062990542205,26.079310253138964,28.67282076505439,72.82380549287872,2.7358444651412723,1,2,2,1,18.04524492583702,26.079454836195215,25.62165286489629,10.768845593882613,9.103804981263412,26.079310253138964,2,1,26.079454836195215,33.70310370303286,av-fuzzer
scenario225,1,15.702164615515295,27.365632474081583,12.84549662463397,26.079454836195215,2,4,11.641985874209665,26.13288800979904,26.079310253138964,29.985194291781077,74.88490431491466,2.75509305712595,1,2,2,1,18.04524492583702,26.079454836195215,25.62165286489629,10.768845593882613,9.18015363819941,26.13288800979904,1,1,26.31584215383829,20.982370624757337,av-fuzzer
scenario226,0,15.702164615515295,27.365632474081583,12.84549662463397,26.079454836195215,2,4,11.536375052038753,25.346146147860527,26.079310253138964,28.975964995027987,63.86912950398786,2.8234413602402957,1,2,2,1,18.04524492583702,26.079454836195215,25.327913243894194,10.768845593882613,9.082155392332487,26.079310253138964,2,1,26.079454836195215,39.21162811216287,av-fuzzer
scenario227,0,15.702164615515295,27.365632474081583,13.83617485653437,26.079454836195215,5,4,11.65660345483998,25.983174681753006,26.07969332511791,34.17580797032944,80.86770919489551,2.5925711817790082,1,1,2,2,18.04524492583702,23.940140807958464,13.693182298801911,11.808816074782372,8.983239426771949,26.07969332511791,2,1,26.079454836195215,48.28750762346186,av-fuzzer
scenario228,0,15.702164615515295,27.365632474081583,12.84549662463397,26.079454836195215,6,4,11.60541759044752,25.658180011363683,26.079310253138964,30.966537724138995,83.12582423126165,2.8494126256470325,1,2,2,1,18.04524492583702,26.079454836195215,25.62165286489629,11.955046887658144,8.941277728632286,26.079310253138964,2,1,26.079454836195215,32.53827066258445,av-fuzzer
scenario229,0,15.702164615515295,27.365632474081583,12.84549662463397,26.079454836195215,5,3,11.181730705103295,25.785064595681828,26.079310253138964,29.381756648801876,65.2734678649804,2.859990521278391,1,2,2,1,18.04524492583702,26.079454836195215,25.327913243894194,9.803836690562935,8.993700773550827,26.079310253138964,2,1,26.079454836195215,39.38827506922746,av-fuzzer
scenario230,0,15.702164615515295,27.365632474081583,12.84549662463397,26.079454836195215,2,4,11.57114625552968,26.08470286283475,26.079310253138964,30.655117378883066,71.23157682120345,2.7540895870144637,1,2,2,1,18.04524492583702,26.079454836195215,25.62165286489629,10.768845593882613,9.15845238385747,26.08470286283475,1,1,26.31584215383829,23.43594797993543,av-fuzzer
scenario231,0,15.702164615515295,27.365632474081583,12.84549662463397,26.079454836195215,2,4,11.59473429979112,26.08470286283475,26.079310253138964,30.197682604232597,69.4185981343385,2.7919242022576802,1,2,2,1,18.04524492583702,26.079454836195215,25.62165286489629,10.768845593882613,9.15845238385747,26.08470286283475,1,1,26.31584215383829,20.057384614038835,av-fuzzer
scenario232,0,8.95473749263876,25.589393349267336,20.42007153826695,29.26359995519543,0,8,11.70958408673886,25.582386090690353,29.262166961338,62.13744890966868,107.32355879520416,3.1681572450982554,1,2,1,1,25.589393349267336,11.388860875249572,11.349966341968202,10.775727247955396,9.536022456850368,29.262166961338,2,0,16.644615711199684,98.31748706227316,av-fuzzer
scenario233,0,11.110528932712585,24.685251606851118,13.058602442997469,24.53095720333162,4,7,11.679831306071113,24.633772598852737,24.53116448474441,25.101302791945564,76.32239422401318,3.751912594894836,1,2,1,2,10.4792789622926,22.765590762912655,4.985126136256315,5.7972965807737635,7.951313600014709,24.633772598852737,1,1,24.685251606851118,16.93952240092254,av-fuzzer
scenario234,0,16.557904045631325,27.947194623860156,16.019797994482083,28.428339324735,5,4,11.701983352980852,21.364168099466436,24.374131333657694,25.618370238841372,71.37753787095741,3.795664574082095,2,2,2,2,13.075353071796462,24.386887770782025,19.89700347797707,13.064448127226658,9.137063183090572,24.374131333657694,2,0,7.692931461490065,34.102251624016525,av-fuzzer
scenario235,0,14.245457412055234,29.09756877967695,11.932312349104405,28.811720215247803,6,3,11.714292703022359,26.73606791732973,26.008126010198342,19.606627196517323,46.731173342796275,6.608383573471512,1,2,1,1,27.05886863027984,4.6768592794520565,8.857844099078289,10.552857002807492,7.522479581047456,26.73606791732973,1,1,27.05886863027984,27.98895419110336,av-fuzzer
scenario236,0,10.15069595501474,25.589393349267336,20.42007153826695,29.26359995519543,0,8,11.694394040934291,25.582386090690353,29.262166961338,59.46911780450819,108.65146656983615,2.9710372768337563,1,2,1,2,25.589393349267336,27.10125053221082,11.92904964073627,10.775727247955396,9.55992911588255,29.262166961338,2,0,16.644615711199684,96.95806297431693,av-fuzzer
scenario237,0,10.15069595501474,25.589393349267336,19.215428692935017,29.26359995519543,0,8,11.688540740516105,25.582386090690353,29.262166961338,59.26734273164968,117.88941776965646,2.964787155923571,1,2,1,2,25.589393349267336,27.10125053221082,12.531089389699236,10.775727247955396,9.56594022690182,29.262166961338,2,0,16.644615711199684,87.33327706063501,av-fuzzer
scenario238,0,16.557904045631325,27.947194623860156,16.019797994482083,28.428339324735,5,4,11.660746707679102,21.39655311963867,24.374131333657694,25.598460054617725,71.3801665398651,3.807672493410127,2,2,2,2,13.075353071796462,24.386887770782025,19.89700347797707,13.064448127226658,9.144461271454405,24.374131333657694,2,0,7.692931461490065,33.595126521283845,av-fuzzer
scenario239,0,15.0037899280479,27.947194623860156,16.019797994482083,28.428339324735,5,4,11.75328546562806,21.111228388288623,24.374131333657694,27.85647188475968,71.26358032419672,3.8287247913706093,2,2,2,2,13.075353071796462,24.386887770782025,18.872149870894518,13.064448127226658,9.143169389052222,24.374131333657694,2,0,7.692931461490065,37.561314447478345,av-fuzzer
scenario240,0,10.15069595501474,25.589393349267336,20.42007153826695,29.26359995519543,0,6,11.727251925686819,25.582386090690353,29.262166961338,60.78576945404714,147.1613234530552,2.9436506445213095,2,2,0,2,18.79495639285854,27.10125053221082,13.807892149900937,18.79483318300496,10.493176643450827,29.262166961338,2,0,16.644615711199684,93.9673515737175,av-fuzzer
scenario241,0,10.611595915665992,25.589393349267336,20.42007153826695,29.26359995519543,0,8,11.649456347594503,25.320784290625475,29.262166961338,56.32730547153694,107.16402795248105,2.9455134528876727,2,2,0,2,18.79495639285854,27.10125053221082,12.916189605187888,0.061510145174396895,9.562656633089276,29.262166961338,2,0,16.644615711199684,100.89936026375025,av-fuzzer
