Row,npc1_avg_control_speed,npc1_max_control_speed,npc2_avg_control_speed,npc2_max_control_speed,npc1_number_lane_changes,npc2_number_lane_changes,ego_max_speed,npc1_max_speed,npc2_max_speed,npc_avg_dist,max_npc_dist,min_npc_dist,type_npc_max_dist,type_npc_min_dist,op_npc_max_dist,op_npc_min_dist,ctrl_speed_npc_max_dist,ctrl_speed_npc_min_dist,speed_npc_min_dist,speed_npc_max_dist,avg_speed_npcs,max_npc_speed,type_npc_max_speed,op_npc_max_speed,ctrl_speed_npc_max_speed,dist_av_npc_max_speed
scenario631,14.1368016221239,29.7772745221364,17.7388220365824,29.4304248277169,5,5,11.7247376507695,27.3779598136078,29.4134440759161,49.641876846117,121.482878265834,3.20925814222067,2,1,1,2,18.9033697277883,25.9351500043452,11.529103599478,12.3483055044218,9.38696621421654,29.4134440759161,2,1,18.9033697277883,110.709863224505
scenario632,14.972859829021,24.7644631002434,15.928172147679,29.5074164184535,4,9,11.5733961796572,24.0255924383567,27.0183058865925,18.9427979296897,38.378612994349,3.83684842015043,2,2,2,0,29.5074164184535,23.6433530742499,19.2903187085303,5.64616103881078,8.02653851564141,27.0183058865925,2,2,29.5074164184535,29.0748889136125
scenario633,13.135304915388,25.0869138632521,15.9770672645815,26.5944309388972,5,9,11.4181976021646,25.0806396867262,26.5912291980688,27.0965156854923,75.844841862546,3.83287251624455,2,2,0,0,24.2493347011067,19.51791512826,17.2078543814357,10.4839731848648,8.56090268372807,26.5912291980688,2,0,24.2493347011067,72.4372460696908
scenario634,17.7328536106812,27.6793169907166,14.1100335153538,29.6828399600907,7,5,11.7011585983898,23.1080765228257,29.4728195386248,24.1763527254773,72.4650652617722,3.65993229571187,2,1,0,0,5.79122337517044,15.9948728367147,2.36767046002061,17.9288416096251,8.40135972804063,29.4728195386248,2,2,13.4314896272609,46.4532420065221
scenario635,14.6330866650923,28.8454443973226,11.0857932022922,26.3096543193126,8,8,11.6911939662963,26.7873418042922,26.2898228162162,27.228922281779,64.6606957756102,3.46692941549926,2,2,2,2,26.3096543193126,23.3156354042871,7.37376493784692,10.6461257188776,7.77432321992894,26.7873418042922,1,1,28.8454443973226,30.1186994344081
scenario636,15.4388955994036,29.5398517750646,15.1652342143984,29.7746589347595,5,5,11.2347445000686,29.5314128889532,29.773667730754,22.0538873643445,74.5402168565722,3.43907871668239,2,2,2,2,9.4879268200704,29.6090085612151,29.1304243806313,27.9991040863454,8.39544525722938,29.773667730754,2,0,29.7746589347595,72.6005517528489
scenario637,15.0120483234006,27.7216908592449,14.6690166811669,27.833715137181,5,5,11.7301536363046,19.5652449220463,27.8325048205593,21.5551747386035,68.4814208789253,3.69823165765683,1,1,2,0,16.6920370234171,11.6253700174585,1.83293182792739,8.16655009303696,8.99849448981331,27.8325048205593,2,2,27.833715137181,14.3361186178821
scenario638,17.7211037671025,29.8777947528533,13.6794692093278,29.5484728500331,3,6,11.6513920067036,29.8508629526612,29.5486254387911,32.3081362796198,79.6343305936643,3.41260411599138,2,1,1,2,8.39535416108953,29.8777947528533,22.7833635465172,12.0778370099013,8.92001393636564,29.8508629526612,1,2,29.8777947528533,7.72553063871804
scenario639,11.3458444259724,28.6548501737376,19.5413131973823,28.3261541514941,6,5,11.6655396709432,26.168667272876,27.5771176563517,45.0473227473538,89.9819496098199,3.36362970241602,2,2,2,1,20.3318717904623,11.0917782428062,10.8741811571907,20.310740512172,9.00221901139011,27.5771176563517,2,2,25.1516977288156,75.3462271261948
scenario640,13.2575474494624,29.68840541222,14.0131845097682,25.1067812347607,9,7,11.6299656516607,24.6883372448241,23.7986144454249,50.5327287231482,110.608300992934,2.61826645021297,1,2,0,1,8.06004965502444,0.546958064616974,0.157881006305783,3.98469552569382,7.22447077881211,24.6883372448241,1,1,29.68840541222,16.6560894247342
scenario641,12.5580684143352,27.5805659347239,13.9882818766155,25.583402609878,5,6,11.6953347800596,19.8424171789564,21.9588257919519,30.6752887545528,67.0818208927315,8.99503239774247,2,1,1,0,21.9808846769368,7.33278827898225,0.389443039835264,10.3032611705465,7.49254462847699,21.9588257919519,2,2,25.583402609878,45.0294317292814
scenario642,17.0390662405374,26.9094520475375,16.5030706180683,29.6436187761007,2,5,11.6260789069741,26.8377409423415,29.6200229516187,33.0787134035975,100.849774106251,2.86842010030712,2,1,0,2,26.2030813620839,3.62979552641878,20.0022734167683,11.2029561681143,10.1857908195387,29.6200229516187,2,0,26.2030813620839,80.3028569754923
scenario643,18.044520296913,28.800252529374,14.6938047633274,26.7737986164193,7,7,11.6605464445731,24.3652000814017,26.7699953523554,26.3808970372441,69.4337529815223,3.79522091430626,2,2,0,2,16.2715968959484,24.8473197028402,20.2726950454447,26.7117525894316,8.03508071405567,26.7699953523554,2,2,26.7737986164193,67.9085054976607
scenario644,16.7528168384079,29.8099060995687,15.0936598355985,29.7837961995047,8,5,11.6657079621016,29.0660534709643,29.7682616152456,22.710476168983,50.4399785964486,3.80624866048866,1,2,2,0,29.1073117535409,29.7837961995047,23.0485290896992,11.1979820283547,8.24803755477123,29.7682616152456,2,0,3.75642856589393,45.4714701840714
scenario645,14.3374267825749,25.9266915200422,13.3259544002995,20.7021521802026,5,5,11.7016747119151,18.0922442685339,20.7015821135316,15.712011509159,37.2231651032061,3.45023770809713,1,2,0,0,9.72864035090251,18.0239624240315,16.5906355464329,2.35611564220911,8.33538531292003,20.7015821135316,2,0,14.1633497573135,4.77237331816659
scenario646,21.4310617531227,28.4554059210057,17.2915147004092,29.8917076505776,4,5,11.7419974772203,27.090002582376,29.7744701418532,25.2444629409505,56.8916449897671,3.80915989063439,1,2,1,0,22.3138727481214,29.7902214666931,23.0535647248024,9.99081521615698,8.46639802323718,29.7744701418532,2,0,8.09448078761569,45.4529492167649
scenario647,12.6011770562973,25.6124319080618,18.7649071988678,29.2073124628277,7,6,11.6766078857431,25.5145094422745,22.1314154601282,31.0202861149618,83.5536404330249,3.4043783970148,2,2,2,1,7.7845191126238,20.3991702395869,18.6246173310353,7.78282624699922,9.29823938436704,25.5145094422745,1,1,21.1911592383783,10.7012019317348
scenario648,16.8915156473906,28.6605410571753,15.2834447538771,26.9175894854359,6,5,11.689644757558,28.3382316433334,18.8130329081255,20.1662547265574,48.171600485457,3.31220616281321,1,2,1,0,28.6605410571753,23.4903735083043,5.29774278977355,11.3318348073731,8.02587961930924,28.3382316433334,1,1,28.6605410571753,27.1336584102417
scenario649,16.1233233392708,29.1671842461809,15.8019350323403,27.8504888312585,8,7,11.661733764513,28.6631651599422,27.8356272273379,28.1443615989189,70.3065968357179,2.76837383504627,2,1,1,2,24.411836016608,21.4099589964041,7.67080224387829,25.2087021520263,9.00211367845792,28.6631651599422,1,2,29.1671842461809,3.62496978459045
scenario650,15.0175512838098,27.9907550371606,16.1523822134181,23.7963635435001,9,4,11.7266946874355,20.8414018052131,23.7933209558678,35.5504641778375,87.2647858206215,3.51977602440147,2,1,2,0,7.7949895263697,20.4531780265837,5.88202489625069,22.5654247497885,9.11521476612099,23.7933209558678,2,0,14.4696541796607,50.4565840932811
