Row,IsBetaEasy
scenario752,0
scenario753,0
scenario754,0
scenario755,0
scenario756,0
scenario757,1
scenario758,0
scenario759,1
scenario760,0
scenario761,0
scenario762,0
scenario763,0
scenario764,0
scenario765,0
scenario766,0
scenario767,0
scenario768,0
scenario769,0
scenario770,0
scenario771,0
scenario772,0
scenario773,0
scenario774,1
scenario775,0
scenario776,0
scenario777,1
scenario778,0
scenario779,0
scenario780,0
scenario781,1
scenario782,1
scenario783,0
scenario784,1
scenario785,0
scenario786,0
scenario787,0
scenario788,0
scenario789,0
scenario790,1
scenario791,0
scenario792,1
scenario793,0
scenario794,1
scenario795,0
scenario796,0
scenario797,0
scenario798,0
scenario799,0
scenario800,0
scenario801,0
scenario802,1
scenario803,0
scenario804,0
scenario805,0
scenario806,0
scenario807,1
scenario808,0
scenario809,0
scenario810,0
scenario811,0
scenario812,0
scenario813,0
scenario814,0
scenario815,0
scenario816,0
scenario817,0
scenario818,0
scenario819,1
scenario820,0
scenario821,0
scenario822,0
scenario823,1
scenario824,0
scenario825,0
scenario826,1
scenario827,0
scenario828,0
scenario829,0
scenario830,0
scenario831,0
scenario832,0
scenario833,1
scenario834,1
scenario835,0
scenario836,0
scenario837,1
scenario838,0
scenario839,0
scenario840,0
scenario841,0
scenario842,0
scenario843,0
scenario844,0
scenario845,0
scenario846,0
scenario847,0
scenario848,0
scenario849,0
scenario850,0
scenario851,1
scenario852,0
scenario853,0
scenario854,0
scenario855,1
scenario856,0
scenario857,0
scenario858,0
scenario859,0
scenario860,0
scenario861,0
scenario862,1
scenario863,0
scenario864,0
scenario865,0
scenario866,0
scenario867,1
scenario868,0
scenario869,1
scenario870,0
scenario871,0
scenario872,0
scenario873,0
scenario874,1
scenario875,1
scenario876,0
scenario877,0
scenario878,0
scenario879,0
scenario880,0
scenario881,0
scenario882,0
scenario883,0
scenario884,0
scenario885,0
scenario886,0
scenario887,0
scenario888,0
scenario889,0
scenario890,0
scenario891,1
scenario892,1
scenario893,0
scenario894,0
scenario895,0
scenario896,0
scenario897,0
scenario898,0
scenario899,0
scenario900,1
scenario901,1
scenario902,0
scenario903,0
scenario904,0
scenario905,0
scenario906,0
scenario907,0
scenario908,0
scenario909,0
scenario910,0
scenario911,0
scenario912,0
scenario913,0
scenario914,0
scenario915,0
scenario916,1
scenario917,0
scenario918,0
scenario919,0
scenario920,0
scenario921,0
scenario922,0
scenario923,1
scenario924,0
scenario925,0
scenario926,1
scenario927,0
scenario928,0
scenario929,0
