instances,algo_collision,feature_npc1_avg_control_speed,feature_npc1_max_control_speed,feature_npc2_avg_control_speed,feature_npc2_max_control_speed,feature_npc1_number_lane_changes,feature_npc2_number_lane_changes,feature_ego_max_speed,feature_npc1_max_speed,feature_npc2_max_speed,feature_npc_avg_dist,feature_max_npc_dist,feature_min_npc_dist,feature_type_npc_max_dist,feature_type_npc_min_dist,feature_op_npc_max_dist,feature_op_npc_min_dist,feature_ctrl_speed_npc_max_dist,feature_ctrl_speed_npc_min_dist,feature_speed_npc_min_dist,feature_speed_npc_max_dist,feature_avg_speed_npcs,feature_max_npc_speed,feature_type_npc_max_speed,feature_op_npc_max_speed,feature_ctrl_speed_npc_max_speed,feature_dist_av_npc_max_speed,source
scenario102,0,14.150177800529724,24.71175507586736,13.954942406208698,29.027463608629436,6,6,11.686400806470848,20.131516168582326,25.83377900409321,33.068625373629864,89.19692556109932,2.7479319752199856,1,2,0,0,6.458698381070576,3.3507009071214866,2.2410826656726033,5.650387536271221,7.270354428706714,25.83377900409321,2,1,14.997746054632046,19.98038726119863,random
scenario103,0,15.277105231601643,28.858882647881575,15.919479009768086,26.580746158872447,5,6,11.464905297699186,28.73890242275364,26.5650147148771,40.1640776612641,106.20327476533507,3.381497240264532,1,2,0,1,24.881738105133707,19.28035181646555,17.603137633425746,0.0,6.741606014622677,28.73890242275364,1,1,28.858882647881575,12.101938481800168,random
scenario104,0,13.650550501441549,29.893459516517993,16.151770903138765,25.339791016069313,5,7,11.671765900485235,29.07328031420238,25.3396425636142,32.17505928248028,77.68956139982372,3.3935370358444428,2,2,1,1,4.543904650873189,24.06320792260796,20.528780353647818,25.3396425636142,8.335161122361935,29.07328031420238,1,2,29.893459516517993,48.416751166012666,random
scenario105,0,17.373400533245665,29.962985076576125,13.168449978884166,26.009921522468645,4,6,11.710474971465914,15.426704414131889,26.006466203189028,42.58148225049936,100.90237417559261,2.973686595185947,1,2,2,2,29.962985076576125,26.009921522468645,13.251953808482321,0.0,6.586292009598686,26.006466203189028,2,0,19.547850401158794,39.713758392092664,random
scenario106,0,17.024579189883454,25.631898595337105,17.624614564699634,28.35516736649888,6,3,11.675566945748205,23.55069818607019,28.101902076662274,35.78725602120533,104.85048634904415,3.29281800313956,2,2,0,1,18.340998138257707,17.711895113430945,16.836095183069517,26.7791572853314,10.137971097144476,28.101902076662274,2,2,28.35516736649888,90.52829641533513,random
scenario107,0,16.603815765200192,24.123813615634838,10.823844145872338,27.786712951117625,4,5,11.664990635529131,24.118921642053046,27.771960503736715,22.831995582269023,48.84867577177574,3.744255526226971,2,2,1,1,11.542088833224135,0.50583462331238,0.4962076618138565,6.597457239194071,7.523022389013326,27.771960503736715,2,0,1.297373850768303,42.40845479615044,random
scenario108,0,17.778610217995,29.403163274742415,18.6903903914289,29.72561476820067,7,8,11.655679131665345,29.023058384707852,28.02114735951252,26.816331883796728,104.5689491268621,3.6966707367765563,2,2,2,0,29.72561476820067,28.021634992702047,27.705396578790285,0.002750817318316642,9.628005784651027,29.023058384707852,1,1,29.403163274742415,10.157277644244964,random
scenario109,0,11.758454805547478,19.171885972145454,12.702145890524339,26.830916985049868,5,7,11.713410599117097,17.472575483594127,26.81301966924409,29.48264712083568,80.75052977952225,3.2064475900979272,1,2,1,2,7.473089896600244,13.048872975421054,13.042163138626428,6.976046853109606,7.5562416199994145,26.81301966924409,2,0,26.830916985049868,8.472469711143638,random
scenario110,0,11.143628470242302,19.873016627976064,18.282226758767848,29.20557071386684,8,8,11.680130099925272,19.24059123001741,28.187193594793516,42.17863083331569,108.64476114342112,3.4372521663660796,2,1,1,0,18.64220995818499,19.873016627976064,5.022573374869834,12.497763228711229,8.337002490794525,28.187193594793516,2,2,28.187428809790617,80.95668359857355,random
scenario111,0,14.013166069917968,28.014928091258515,14.185310600167707,29.524027050081646,7,8,11.03041835843523,27.78203459798105,29.508440484446293,28.610518600626417,78.13541905989499,2.7583432105385977,2,1,1,2,25.88230824021305,23.154612256317876,19.74332817038983,11.245113029926442,8.256450212016672,29.508440484446293,2,0,0.4704744051246157,45.07243194056763,random
