Row,Best_Algorithm
scenario342,0
scenario343,0
scenario344,0
scenario345,0
scenario346,0
scenario347,0
scenario348,0
scenario349,0
scenario350,0
scenario351,0
scenario352,0
scenario353,0
scenario354,0
scenario355,0
scenario356,0
scenario357,0
scenario358,0
scenario359,0
scenario360,0
scenario361,0
scenario362,0
scenario363,0
scenario364,0
scenario365,1
scenario366,0
scenario367,1
scenario368,0
scenario369,0
scenario370,0
scenario371,0
scenario372,0
scenario373,0
scenario374,0
scenario375,1
scenario376,0
scenario377,0
scenario378,0
scenario379,0
scenario380,0
scenario381,0
scenario382,0
scenario383,0
scenario384,0
scenario385,0
scenario386,0
scenario387,0
scenario388,0
scenario389,0
scenario390,0
scenario391,0
scenario392,0
scenario393,0
scenario394,0
scenario395,0
scenario396,0
scenario397,0
scenario398,0
scenario399,0
scenario400,0
scenario401,0
scenario402,0
scenario403,0
scenario404,0
scenario405,0
scenario406,0
scenario407,0
scenario408,0
scenario409,0
scenario410,0
scenario411,0
scenario412,0
scenario413,0
scenario414,0
scenario415,0
scenario416,0
scenario417,0
scenario418,0
scenario419,0
scenario420,0
scenario421,0
scenario422,0
scenario423,0
scenario424,0
scenario425,0
scenario426,0
scenario427,0
scenario428,0
scenario429,0
scenario430,0
scenario431,0
scenario432,0
scenario433,0
scenario434,0
scenario435,0
scenario436,0
scenario437,0
scenario438,0
scenario439,0
scenario440,0
scenario441,0
scenario442,0
scenario443,0
scenario444,0
scenario445,0
scenario446,0
scenario447,0
scenario448,0
scenario449,0
scenario450,0
scenario451,0
scenario452,0
scenario453,0
scenario454,0
scenario455,0
scenario456,0
scenario457,0
scenario458,0
scenario459,0
scenario460,0
scenario461,0
scenario462,0
scenario463,0
scenario464,0
scenario465,0
scenario466,0
scenario467,0
scenario468,0
scenario469,0
scenario470,0
scenario471,0
scenario472,0
scenario473,0
scenario474,0
scenario475,0
scenario476,0
scenario477,0
scenario478,0
scenario479,0
scenario480,0
scenario481,0
scenario482,0
scenario483,0
scenario484,0
scenario485,0
scenario486,0
scenario487,0
scenario488,0
scenario489,0
scenario490,0
scenario491,0
scenario492,0
scenario493,0
scenario494,0
scenario495,0
scenario496,0
scenario497,0
scenario498,0
scenario499,0
scenario500,0
scenario501,0
scenario502,0
scenario503,0
scenario504,0
scenario505,0
scenario506,0
scenario507,0
scenario508,0
scenario509,0
scenario510,0
scenario511,0
scenario512,0
scenario513,0
scenario514,0
scenario515,0
scenario516,0
scenario517,0
scenario518,0
scenario519,0
scenario520,0
scenario521,0
scenario522,0
scenario523,1
scenario524,0
scenario525,0
scenario526,0
scenario527,0
scenario528,1
scenario529,0
scenario530,0
scenario531,0
scenario532,0
scenario533,1
scenario534,0
scenario535,0
scenario536,0
scenario537,0
scenario538,1
scenario539,0
scenario540,1
scenario541,0
scenario542,1
scenario543,0
scenario544,1
scenario545,0
scenario546,0
scenario547,0
scenario548,0
scenario549,0
scenario550,0
scenario551,0
scenario552,0
scenario553,0
scenario554,0
scenario555,1
scenario556,0
scenario557,0
scenario558,0
scenario559,1
scenario560,0
scenario561,1
scenario562,1
scenario563,0
scenario564,0
scenario565,0
scenario566,0
scenario567,0
scenario568,0
scenario569,1
scenario570,0
scenario571,0
scenario572,0
scenario573,0
scenario574,0
scenario575,1
scenario576,0
scenario577,0
scenario578,0
scenario579,0
scenario580,0
scenario581,0
scenario582,0
scenario583,0
scenario584,0
scenario585,0
scenario586,0
scenario587,0
scenario588,0
scenario589,0
scenario590,0
scenario591,1
scenario592,1
scenario593,1
scenario594,1
scenario595,0
scenario596,0
scenario597,0
scenario598,1
scenario599,1
scenario600,1
scenario601,1
scenario602,0
scenario603,1
scenario604,0
scenario605,0
scenario606,0
scenario607,0
scenario608,0
scenario609,0
scenario610,0
scenario611,0
scenario612,0
scenario613,0
scenario614,0
scenario615,0
scenario616,0
scenario617,0
scenario618,0
scenario619,0
scenario620,0
scenario621,0
scenario622,0
scenario623,0
scenario624,0
scenario625,0
scenario626,0
scenario627,0
scenario628,0
scenario629,0
scenario630,0
scenario631,0
scenario632,0
scenario633,0
scenario634,0
scenario635,0
scenario636,0
scenario637,0
scenario638,0
scenario639,0
scenario640,0
scenario641,0
scenario642,0
scenario643,0
scenario644,0
scenario645,0
scenario646,0
scenario647,0
scenario648,0
scenario649,0
scenario650,0
scenario651,1
scenario652,0
scenario653,1
scenario654,0
scenario655,1
scenario656,1
scenario657,0
scenario658,0
scenario659,0
scenario660,0
scenario661,0
scenario662,0
scenario663,0
scenario664,0
scenario665,0
scenario666,0
scenario667,0
scenario668,0
scenario669,0
scenario670,0
scenario671,0
scenario672,0
scenario673,0
scenario674,0
scenario675,0
scenario676,0
scenario677,0
scenario678,0
scenario679,1
scenario680,1
scenario681,0
scenario682,0
scenario683,0
scenario684,0
scenario685,0
scenario686,0
scenario687,1
scenario688,0
scenario689,0
scenario690,0
scenario691,0
scenario692,0
scenario693,1
scenario694,0
scenario695,0
scenario696,0
scenario697,0
scenario698,0
scenario699,0
scenario700,0
scenario701,0
scenario702,0
scenario703,0
scenario704,0
scenario705,0
scenario706,0
scenario707,0
scenario708,0
scenario709,0
scenario710,0
scenario711,0
scenario712,0
scenario713,0
scenario714,0
scenario715,0
scenario716,0
scenario717,0
scenario718,0
scenario719,0
scenario720,0
scenario721,0
scenario722,0
scenario723,0
scenario724,0
scenario725,1
scenario726,0
scenario727,0
scenario728,0
scenario729,0
scenario730,0
scenario731,0
scenario732,0
scenario733,0
scenario734,1
scenario735,0
scenario736,0
scenario737,0
scenario738,0
scenario739,0
scenario740,0
scenario741,0
scenario742,1
scenario743,0
scenario744,0
scenario745,0
scenario746,0
scenario747,0
scenario748,0
scenario749,0
scenario750,0
scenario751,0
scenario752,0
scenario753,0
scenario754,1
scenario755,0
scenario756,0
scenario757,1
scenario758,0
scenario759,0
scenario760,0
scenario761,0
scenario762,1
scenario763,0
scenario764,1
scenario765,1
scenario766,0
scenario767,0
scenario768,0
scenario769,0
scenario770,0
scenario771,0
scenario772,0
scenario773,0
scenario774,0
scenario775,0
scenario776,0
scenario777,0
scenario778,0
scenario779,0
scenario780,0
scenario781,0
scenario782,0
scenario783,0
scenario784,0
scenario785,0
scenario786,0
scenario787,0
scenario788,0
scenario789,0
scenario790,0
scenario791,0
scenario792,0
scenario793,0
scenario794,0
scenario795,0
scenario796,0
scenario797,0
scenario798,0
scenario799,0
scenario800,0
scenario801,0
scenario802,0
scenario803,0
scenario804,0
scenario805,0
scenario806,0
scenario807,0
scenario808,0
scenario809,0
scenario810,0
scenario811,0
scenario812,0
scenario813,0
scenario814,0
scenario815,0
scenario816,0
scenario817,0
scenario818,0
scenario819,0
scenario820,1
scenario821,0
scenario822,1
scenario823,0
scenario824,0
scenario825,1
scenario826,1
scenario827,1
scenario828,1
scenario829,0
scenario830,0
scenario831,1
scenario832,1
scenario833,0
scenario834,1
scenario835,1
scenario836,0
scenario837,0
scenario838,1
scenario839,1
scenario840,1
scenario841,1
scenario842,1
scenario843,1
scenario844,1
scenario845,1
scenario846,0
scenario847,1
scenario848,1
scenario849,1
scenario850,0
scenario851,0
scenario852,1
scenario853,1
scenario854,1
scenario855,1
scenario856,1
scenario857,1
scenario858,1
scenario859,1
scenario860,1
scenario861,1
scenario862,1
scenario863,1
scenario864,1
scenario865,1
scenario866,1
scenario867,1
scenario868,1
scenario869,1
scenario870,1
scenario871,0
scenario872,1
scenario873,1
scenario874,1
scenario875,1
scenario876,1
scenario877,1
scenario878,1
